,IVA
0,2248.28
1,78.4
2,31.2
4,0.0
5,0.0
8,0.0
9,0.0
10,699.48
11,25.52
12,76.8
13,400.0
14,14.15
15,855.16
16,824.35
17,0.0
18,0.0
19,0.0
20,124.37
21,146.57
22,124.37
23,124.37
24,396.0
25,40.96
26,45.12
28,80.0
29,0.0
30,0.0
31,672.0
32,0.0
33,0.0
34,0.0
35,0.0
36,56.0
37,28.44
38,8.27
39,561.6
40,96.0
41,82.66
43,23.88
44,38.57
45,224.0
46,484.12
48,57.6
49,182.26
50,175.44
52,320.0
53,269.92
55,0.0
56,32.35
57,13.66
58,15.5
59,0.0
60,0.0
62,685.87
63,328.16
64,300.16
65,300.16
66,144.0
67,0.0
68,0.0
69,56.16
71,134.07
72,50.12
73,444.0
74,136.8
75,52.2
76,312.8
77,112.39
78,0.0
79,0.0
80,136.8
81,0.0
82,403.84
83,13.72
84,0.0
86,444.72
87,0.0
88,0.0
89,0.0
90,0.0
91,16.97
92,576.0
93,640.0
94,168.0
95,24.58
96,0.0
97,15.22
98,48.48
99,0.0
100,0.0
101,0.0
102,0.0
103,444.68
106,0.0
107,13.42
108,72.0
109,42.62
110,411.6
111,130.13
112,11.7
113,0.0
114,79.2
115,-96.0
116,0.0
117,0.0
120,368.0
121,36.52
122,0.0
125,0.0
126,0.0
127,46.36
128,282.24
129,852.69
130,62.09
131,52.06
132,0.0
133,0.0
134,0.0
135,0.0
138,192.67
139,0.0
140,0.0
141,175.41
142,121.42
143,195.71
145,211.2
146,0.0
148,496.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,50.34
155,0.0
156,55.16
157,116.84
159,0.0
160,0.0
161,0.0
162,23.17
163,80.89
164,67.4
165,13.44
166,13.44
167,38.3
168,522.88
169,583.68
170,419.93
172,296.8
173,985.6
174,408.0
175,25.6
176,109.44
177,109.44
180,15.56
181,4.44
182,313.62
183,0.0
184,0.0
185,311.52
187,1005.84
189,235.92
190,275.53
191,919.63
193,784.0
194,326.58
195,12.14
196,0.0
197,0.0
198,0.0
199,0.0
201,72.96
202,0.0
203,0.0
206,0.0
207,0.0
208,0.0
209,7.47
210,546.57
211,26.98
212,25.76
213,825.12
214,0.0
215,360.0
216,0.0
217,62.09
218,0.0
219,0.0
220,212.98
221,161.47
222,356.32
223,60.0
225,0.0
226,0.0
227,13.78
228,0.0
229,101.22
230,362.88
231,0.0
232,163.2
233,0.0
234,0.0
235,0.0
236,0.0
237,136.8
238,73.46
239,496.0
240,3.03
241,3.03
242,22.89
243,42.12
244,0.0
245,489.6
246,0.0
247,44.68
248,0.0
249,153.6
250,7.27
251,208.0
252,4.0
253,13.49
254,0.0
255,68.16
256,132.23
257,13.31
258,326.27
259,207.04
260,0.0
262,0.0
263,279.22
264,372.29
265,27.59
266,557.66
267,548.59
268,26.76
269,286.82
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,17.36
276,256.0
277,22.34
278,66.06
279,0.0
280,268.2
281,111.76
282,0.0
283,141.31
284,38.94
285,129.28
286,70.54
287,176.0
288,955.22
289,0.0
291,137.93
292,0.0
293,16.8
294,0.0
295,800.0
296,335.22
297,24.59
300,4.54
301,0.0
302,0.0
303,171.2
305,0.0
306,0.0
307,0.0
308,80.89
309,0.0
310,6.06
311,393.12
312,134.96
313,33.12
314,18.0
315,0.0
316,0.0
317,0.0
318,0.0
320,78.4
321,31.2
322,157.74
324,-214.99
325,-34.4
326,855.16
327,824.35
328,587.28
329,469.2
330,21.1
331,676.18
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,544.31
339,116.07
340,411.18
341,109.25
342,672.0
343,329.62
344,1117.6
345,93.6
346,200.0
347,65.6
348,0.0
349,1033.44
350,304.64
352,0.0
353,0.0
354,65.6
355,168.0
357,545.17
358,73.12
359,11.18
360,15.94
362,108.97
363,107.59
364,257.41
365,22.4
366,287.04
367,192.0
368,0.0
369,0.0
370,971.06
371,254.61
372,-444.72
373,758.4
374,24.0
375,768.92
377,24.62
378,31.04
380,13.49
381,0.0
382,3.03
383,3.03
384,74.24
385,36.8
387,436.12
388,182.26
389,66.94
390,171.2
391,74.24
392,148.0
393,207.26
394,608.0
395,440.58
396,13.48
397,121.9
398,485.82
399,192.0
400,1144.69
401,329.28
402,9.93
403,0.0
404,322.59
405,146.57
406,124.37
407,124.37
408,124.37
409,57.6
410,43.2
411,312.8
412,158.58
413,304.0
414,-9.43
415,-158.58
416,165.5
417,64.8
418,0.0
419,89.66
421,0.0
422,23.2
424,23.89
425,17.28
426,20.24
427,0.0
428,100.68
429,126.89
430,72.0
431,14.4
432,273.25
433,20.8
434,0.0
435,373.09
436,640.0
437,18.24
438,390.4
439,0.0
440,0.0
441,0.0
442,390.08
443,0.0
444,0.0
445,0.0
446,0.0
447,5.33
448,18.21
449,67.47
450,300.24
451,651.72
452,0.0
453,6.13
454,5.65
455,758.4
456,8.22
457,640.0
458,173.48
459,109.88
460,50.62
462,38.57
463,109.56
464,71.2
465,1190.12
469,120.58
470,173.77
471,470.4
472,0.0
475,-72.0
476,28.97
477,7.59
478,509.2
479,36.84
480,13.48
481,3.1
482,10.48
483,626.304
484,3.03
485,588.0
487,0.0
488,0.0
489,0.0
490,51.1
491,62.09
492,0.0
493,13.48
494,0.0
495,11.97
496,129.12
497,396.0
498,509.76
499,123.52
500,515.53
501,919.63
502,955.22
503,920.84
504,267.04
508,0.0
509,674.24
510,86.91
511,912.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,635.04
518,1090.4
519,13.81
520,87.2
521,3.53
522,304.0
523,46.7
529,504.32
530,252.16
531,224.0
532,194.4
533,84.42
534,127.36
535,0.0
537,0.0
539,0.0
540,320.0
541,0.0
542,1033.6
543,54.0
544,490.64
545,24.52
546,0.0
547,0.0
548,127.13
549,1055.73
550,0.0
552,190.71
553,16.36
554,720.43
555,292.39
556,24.0
557,22.08
558,481.68
559,161.76
560,0.0
563,107.78
565,49.6
566,384.0
567,208.0
568,80.0
569,0.0
570,175.41
571,74.20615172413794
572,250.88
573,49.63
574,158.87
575,139.89
576,0.0
577,344.0
579,0.0
580,0.0
581,0.0
582,62.09
583,0.0
584,110.57
585,190.08
586,0.0
587,37.22
588,0.0
589,16.03
590,0.0
591,71.44
592,0.0
593,57.6
595,156.37
596,0.0
597,85.71
599,510.24
600,0.0
601,0.0
602,0.0
603,40.96
604,0.0
605,0.0
